timestamp,centuries_1,centuries_2,centuries_3,centuries_4,centuries_5,centuries_6,centuries_7,centuries_8,centuries_9,centuries_10,centuries_11,centuries_12,centuries_13,centuries_14,centuries_15,centuries_16,centuries_17,centuries_18,centuries_19,centuries_20,centuries_21,centuries_22
2013-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2013-11-29,0,0,0,2,0,1,0,0,0,2,2,0,0,1,1,0,4,6,9,20,3,0
2013-11-30,1,3,1,0,2,0,3,0,1,1,1,3,4,1,0,4,8,8,31,32,7,0
2013-12-01,9,1,2,0,1,5,2,3,0,2,0,1,2,1,1,3,4,11,27,33,6,1
2013-12-02,1,1,0,0,0,0,0,0,0,0,3,0,2,1,1,2,4,10,15,24,15,0
2013-12-03,2,2,0,0,0,0,0,1,0,0,1,2,1,4,4,5,3,11,33,17,18,1
2013-12-04,3,1,0,2,0,1,4,1,4,0,1,1,1,6,0,5,5,10,22,15,20,0
2013-12-05,3,1,0,0,0,2,2,2,0,1,0,1,0,1,1,7,9,11,26,35,14,0
2013-12-06,0,1,0,1,0,0,0,0,0,0,0,1,3,1,1,0,8,13,33,38,19,0
2013-12-07,1,0,3,0,2,1,3,2,1,0,0,1,0,1,2,4,7,13,26,26,14,1
2013-12-08,2,1,0,2,0,0,1,3,2,0,3,2,1,1,1,3,5,8,35,41,16,0
2013-12-09,1,3,0,1,1,0,0,0,0,1,1,0,4,3,2,1,1,10,31,31,19,0
2013-12-10,3,2,1,2,0,0,1,0,1,0,1,0,0,1,2,6,1,4,23,16,14,0
2013-12-11,3,0,1,1,0,1,2,1,1,1,2,0,3,1,0,1,5,4,18,12,11,1
2013-12-12,1,0,0,0,0,0,0,0,0,1,0,1,2,0,1,4,3,7,25,29,12,0
2013-12-13,0,0,0,1,1,0,1,0,2,0,1,2,1,0,4,0,9,9,31,25,10,0
2013-12-14,3,0,2,1,1,1,4,1,0,0,1,1,2,0,3,3,6,7,26,24,19,1
2013-12-15,0,2,0,2,0,2,0,1,1,0,7,3,3,0,0,0,4,6,32,24,12,0
2013-12-16,1,1,3,3,0,1,0,0,2,1,0,1,3,3,3,9,3,11,27,28,14,0
2013-12-17,2,0,4,6,1,0,1,0,0,0,1,2,1,2,4,2,5,9,25,27,10,0
2013-12-18,1,0,0,1,0,0,1,1,1,1,1,3,2,0,1,5,4,6,17,19,18,0
2013-12-19,0,0,1,0,0,2,3,0,1,0,2,1,1,1,1,5,4,4,29,36,21,0
2013-12-20,3,0,1,5,2,2,1,1,0,2,2,2,2,2,0,6,5,7,18,28,10,0
2013-12-21,1,0,1,0,0,1,1,1,1,1,0,1,0,2,5,7,6,8,26,21,10,0
2013-12-22,2,0,1,2,2,3,1,0,1,0,0,2,5,4,2,6,5,5,37,20,13,0
2013-12-23,0,0,1,0,1,0,0,3,1,0,0,0,3,3,1,4,1,9,28,22,15,0
2013-12-24,2,3,1,4,3,1,3,1,0,1,0,2,2,1,2,3,1,10,29,33,13,2
2013-12-25,4,0,2,1,3,0,3,1,3,0,0,1,3,2,2,1,7,9,8,15,12,0
2013-12-26,4,0,1,0,0,1,1,1,0,0,0,0,0,0,2,4,1,3,11,16,10,0
2013-12-27,0,1,2,2,0,0,2,1,0,0,0,3,2,1,2,4,6,11,21,15,10,0
2013-12-28,0,0,0,0,1,0,1,1,1,0,0,1,1,1,2,3,3,4,20,19,14,0
2013-12-29,0,1,1,0,0,0,5,2,0,0,0,3,1,2,0,2,4,6,18,38,14,0
