timestamp,centuries_1,centuries_2,centuries_3,centuries_4,centuries_5,centuries_6,centuries_7,centuries_8,centuries_9,centuries_10,centuries_11,centuries_12,centuries_13,centuries_14,centuries_15,centuries_16,centuries_17,centuries_18,centuries_19,centuries_20,centuries_21,centuries_22
2013-11-30,1.0,3.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,12.0,15.0,41.0,52.0,11.0,0.0
2013-12-31,57.0,22.0,28.0,37.0,19.0,26.0,45.0,29.0,23.0,13.0,28.0,40.0,53.0,46.0,52.0,114.0,140.0,250.0,753.0,783.0,428.0,7.0
2014-01-31,47.0,18.0,19.0,25.0,16.0,26.0,44.0,30.0,23.0,35.0,26.0,52.0,49.0,54.0,80.0,91.0,141.0,220.0,610.0,744.0,433.0,7.0
2014-02-28,45.0,32.0,23.0,24.0,12.0,26.0,37.0,31.0,25.0,28.0,22.0,31.0,55.0,61.0,86.0,115.0,109.0,238.0,677.0,706.0,391.0,6.0
2014-03-31,60.0,16.0,29.0,33.0,20.0,32.0,40.0,18.0,15.0,30.0,32.0,40.0,53.0,60.0,61.0,113.0,135.0,324.0,819.0,826.0,531.0,14.0
2014-04-30,52.0,28.0,13.0,32.0,21.0,24.0,53.0,28.0,18.0,21.0,23.0,39.0,47.0,40.0,86.0,116.0,119.0,251.0,797.0,748.0,484.0,10.0
2014-05-31,47.0,22.0,25.0,24.0,10.0,23.0,27.0,17.0,26.0,25.0,30.0,33.0,51.0,38.0,82.0,109.0,141.0,228.0,677.0,718.0,447.0,13.0
2014-06-30,60.0,39.0,28.0,50.0,25.0,25.0,52.0,28.0,35.0,26.0,37.0,46.0,44.0,41.0,68.0,101.0,146.0,221.0,707.0,756.0,413.0,11.0
2014-07-31,54.0,35.0,27.0,30.0,19.0,35.0,59.0,25.0,26.0,29.0,22.0,37.0,31.0,54.0,83.0,103.0,137.0,258.0,807.0,863.0,519.0,7.0
2014-08-31,50.0,35.0,27.0,38.0,34.0,40.0,78.0,23.0,38.0,39.0,42.0,55.0,66.0,49.0,122.0,158.0,163.0,301.0,800.0,871.0,532.0,9.0
2014-09-30,42.0,22.0,22.0,27.0,26.0,30.0,62.0,26.0,19.0,23.0,20.0,43.0,57.0,45.0,88.0,128.0,129.0,265.0,772.0,797.0,514.0,11.0
2014-10-31,49.0,17.0,16.0,35.0,12.0,23.0,49.0,30.0,18.0,22.0,25.0,45.0,62.0,46.0,104.0,139.0,166.0,267.0,674.0,760.0,477.0,3.0
2014-11-30,47.0,23.0,16.0,27.0,20.0,17.0,30.0,34.0,16.0,16.0,30.0,30.0,50.0,32.0,63.0,108.0,139.0,230.0,673.0,718.0,436.0,5.0
2014-12-31,25.0,11.0,10.0,14.0,9.0,9.0,22.0,12.0,4.0,10.0,6.0,12.0,18.0,11.0,22.0,43.0,45.0,99.0,226.0,308.0,218.0,4.0
2015-01-31,28.0,8.0,7.0,13.0,8.0,26.0,51.0,23.0,12.0,22.0,24.0,29.0,40.0,39.0,50.0,70.0,83.0,153.0,407.0,432.0,328.0,2.0
2015-02-28,29.0,13.0,17.0,20.0,10.0,20.0,55.0,29.0,16.0,18.0,22.0,42.0,49.0,36.0,64.0,68.0,97.0,164.0,464.0,502.0,339.0,3.0
2015-03-31,48.0,23.0,11.0,23.0,17.0,16.0,46.0,27.0,32.0,28.0,13.0,23.0,44.0,63.0,66.0,105.0,132.0,207.0,604.0,690.0,474.0,4.0
2015-04-30,47.0,20.0,21.0,18.0,18.0,13.0,40.0,29.0,20.0,31.0,19.0,34.0,42.0,46.0,64.0,94.0,130.0,197.0,582.0,712.0,412.0,8.0
2015-05-31,51.0,31.0,28.0,12.0,25.0,25.0,50.0,29.0,29.0,26.0,20.0,40.0,55.0,36.0,80.0,87.0,123.0,221.0,635.0,682.0,490.0,14.0
2015-06-30,51.0,31.0,25.0,29.0,16.0,29.0,54.0,17.0,29.0,36.0,21.0,43.0,66.0,41.0,73.0,94.0,127.0,230.0,707.0,638.0,495.0,7.0
2015-07-31,55.0,32.0,30.0,28.0,18.0,29.0,53.0,35.0,24.0,35.0,28.0,45.0,71.0,44.0,93.0,149.0,172.0,286.0,739.0,786.0,498.0,8.0
2015-08-31,46.0,24.0,22.0,25.0,20.0,39.0,51.0,30.0,21.0,33.0,36.0,52.0,53.0,51.0,111.0,152.0,167.0,260.0,761.0,792.0,558.0,10.0
2015-09-30,61.0,23.0,19.0,19.0,32.0,39.0,69.0,40.0,30.0,29.0,21.0,52.0,63.0,76.0,112.0,138.0,174.0,275.0,780.0,860.0,634.0,10.0
2015-10-31,76.0,33.0,35.0,51.0,35.0,44.0,83.0,37.0,41.0,39.0,41.0,56.0,75.0,68.0,98.0,162.0,177.0,308.0,888.0,955.0,601.0,15.0
2015-11-30,32.0,16.0,18.0,12.0,30.0,39.0,104.0,59.0,41.0,19.0,35.0,48.0,66.0,72.0,94.0,127.0,185.0,276.0,802.0,876.0,610.0,13.0
2015-12-31,61.0,24.0,29.0,31.0,28.0,44.0,105.0,42.0,46.0,39.0,48.0,67.0,77.0,80.0,110.0,146.0,184.0,371.0,934.0,1055.0,645.0,12.0
2016-01-31,42.0,27.0,24.0,20.0,31.0,39.0,75.0,51.0,41.0,48.0,49.0,61.0,52.0,70.0,126.0,163.0,220.0,371.0,939.0,1108.0,703.0,14.0
2016-02-29,34.0,13.0,12.0,27.0,19.0,37.0,63.0,52.0,28.0,43.0,39.0,45.0,71.0,57.0,131.0,178.0,225.0,372.0,1014.0,1100.0,684.0,12.0
2016-03-31,40.0,23.0,23.0,19.0,22.0,34.0,63.0,37.0,29.0,39.0,38.0,52.0,73.0,50.0,97.0,187.0,244.0,384.0,1060.0,1182.0,661.0,14.0
2016-04-30,41.0,17.0,24.0,26.0,26.0,32.0,74.0,37.0,48.0,48.0,39.0,52.0,92.0,78.0,133.0,163.0,228.0,359.0,1116.0,1044.0,631.0,16.0
2016-05-31,54.0,25.0,19.0,31.0,48.0,46.0,75.0,33.0,37.0,45.0,46.0,50.0,58.0,64.0,115.0,160.0,198.0,354.0,1064.0,1074.0,680.0,13.0
2016-06-30,72.0,29.0,21.0,29.0,41.0,44.0,88.0,37.0,45.0,39.0,45.0,85.0,98.0,60.0,108.0,185.0,200.0,415.0,1013.0,1154.0,724.0,18.0
2016-07-31,60.0,37.0,33.0,25.0,35.0,31.0,105.0,53.0,30.0,41.0,44.0,75.0,78.0,90.0,127.0,176.0,243.0,424.0,1190.0,1280.0,854.0,13.0
