timestamp,decade_1830,decade_1840,decade_1850,decade_1860,decade_1870,decade_1880,decade_1890,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2010,decade_2020,decade_2030
2013-11-29,1,0,1,0,1,1,0,0,2,6,7,9,10,14,18,15,0,1,0
2013-11-30,0,0,1,1,0,2,2,1,8,9,6,14,20,22,21,28,1,0,0
2013-12-01,0,1,0,1,1,0,0,0,12,14,6,19,31,27,19,36,1,2,0
2013-12-02,0,0,1,0,0,2,1,0,6,3,4,8,13,10,50,37,1,1,1
2013-12-03,0,0,0,0,1,2,1,0,16,12,11,35,20,18,28,29,2,0,0
2013-12-04,0,1,0,2,1,1,0,0,10,6,3,12,16,18,27,21,0,2,0
2013-12-05,0,1,0,0,0,0,0,0,9,7,6,12,17,29,42,35,1,0,0
2013-12-06,0,0,0,0,0,0,0,0,11,14,13,28,33,34,90,49,0,0,0
2013-12-07,0,0,0,1,0,1,0,0,12,17,10,23,21,10,37,27,0,0,0
2013-12-08,1,1,0,0,1,1,1,0,9,11,6,20,23,21,27,27,1,1,0
2013-12-09,0,0,1,0,0,1,0,1,12,14,10,19,18,28,27,29,0,0,0
2013-12-10,0,1,2,2,0,0,0,0,18,10,6,20,16,24,30,44,0,0,0
2013-12-11,0,0,0,0,0,2,1,0,11,12,7,13,24,22,26,89,0,0,0
2013-12-12,0,0,0,0,0,2,0,1,8,17,9,11,13,16,30,25,0,0,0
2013-12-13,0,0,0,0,0,2,0,0,6,9,9,17,18,17,23,50,0,0,0
2013-12-14,0,0,0,0,0,1,0,1,13,13,8,10,16,15,19,28,0,0,0
2013-12-15,0,1,2,0,1,0,0,1,8,12,6,14,21,18,22,18,0,0,0
2013-12-16,0,0,0,0,1,1,0,0,12,17,4,25,24,25,22,21,2,1,1
2013-12-17,0,0,0,0,2,1,2,1,4,13,5,11,23,27,29,42,0,2,0
2013-12-18,0,1,0,0,0,2,1,0,16,9,1,16,19,24,26,22,3,0,0
2013-12-19,0,3,1,0,0,1,2,0,17,23,11,41,27,21,25,23,0,0,0
2013-12-20,0,0,1,0,0,0,0,0,8,12,12,16,19,20,24,29,1,0,0
2013-12-21,0,0,0,0,0,1,0,0,4,9,11,12,21,14,38,38,0,1,0
2013-12-22,0,0,0,2,0,0,0,1,15,18,6,14,11,18,25,21,0,0,0
2013-12-23,0,0,0,0,0,1,2,0,14,10,11,20,22,23,35,26,0,0,0
2013-12-24,0,0,0,0,1,1,0,1,7,14,7,13,15,11,29,29,0,1,0
