timestamp,decade_1830,decade_1840,decade_1850,decade_1860,decade_1870,decade_1880,decade_1890,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2010,decade_2020,decade_2030
2013-11-30,1.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,10.0,15.0,13.0,23.0,30.0,36.0,39.0,43.0,1.0,1.0,0.0
2013-12-31,3.0,15.0,10.0,10.0,10.0,29.0,14.0,10.0,340.0,368.0,224.0,561.0,613.0,618.0,932.0,1038.0,15.0,16.0,6.0
2014-01-31,4.0,9.0,17.0,19.0,10.0,27.0,17.0,11.0,318.0,328.0,202.0,496.0,518.0,645.0,785.0,1029.0,18.0,16.0,8.0
2014-02-28,4.0,11.0,16.0,17.0,12.0,18.0,21.0,13.0,263.0,277.0,211.0,515.0,566.0,550.0,671.0,829.0,4.0,1.0,0.0
2014-03-31,7.0,10.0,20.0,18.0,15.0,16.0,13.0,13.0,353.0,370.0,247.0,641.0,636.0,742.0,840.0,1118.0,28.0,20.0,8.0
2014-04-30,11.0,12.0,15.0,10.0,32.0,26.0,31.0,15.0,307.0,271.0,226.0,615.0,657.0,703.0,844.0,976.0,22.0,17.0,9.0
2014-05-31,8.0,12.0,19.0,19.0,5.0,21.0,25.0,14.0,321.0,328.0,237.0,528.0,625.0,617.0,795.0,1073.0,23.0,17.0,6.0
2014-06-30,5.0,5.0,17.0,6.0,11.0,25.0,30.0,12.0,293.0,284.0,207.0,520.0,582.0,559.0,748.0,879.0,26.0,8.0,9.0
2014-07-31,9.0,9.0,15.0,16.0,9.0,26.0,21.0,9.0,316.0,331.0,251.0,608.0,639.0,642.0,865.0,1004.0,15.0,13.0,4.0
2014-08-31,5.0,3.0,6.0,17.0,14.0,16.0,25.0,21.0,323.0,340.0,281.0,578.0,622.0,641.0,799.0,997.0,36.0,11.0,5.0
2014-09-30,9.0,4.0,8.0,16.0,20.0,23.0,16.0,5.0,356.0,313.0,191.0,449.0,673.0,634.0,797.0,987.0,17.0,22.0,7.0
2014-10-31,8.0,7.0,11.0,16.0,15.0,15.0,19.0,9.0,313.0,290.0,223.0,582.0,668.0,675.0,869.0,1170.0,22.0,11.0,4.0
2014-11-30,6.0,10.0,21.0,16.0,15.0,21.0,17.0,11.0,336.0,271.0,254.0,613.0,741.0,738.0,775.0,990.0,19.0,21.0,13.0
