timestamp,decade_1830,decade_1840,decade_1850,decade_1860,decade_1870,decade_1880,decade_1890,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2010,decade_2020,decade_2030
2013-12-02,1.0,1.0,3.0,2.0,2.0,5.0,3.0,1.0,28.0,32.0,23.0,50.0,74.0,73.0,108.0,116.0,3.0,4.0,1.0
2013-12-09,1.0,3.0,1.0,3.0,3.0,6.0,2.0,1.0,79.0,81.0,59.0,149.0,148.0,158.0,278.0,217.0,4.0,3.0,0.0
2013-12-16,0.0,2.0,4.0,2.0,2.0,8.0,1.0,3.0,76.0,90.0,49.0,110.0,132.0,137.0,172.0,275.0,2.0,1.0,1.0
2013-12-23,0.0,4.0,2.0,2.0,2.0,6.0,7.0,2.0,78.0,94.0,57.0,130.0,142.0,147.0,202.0,201.0,4.0,3.0,0.0
2013-12-30,1.0,3.0,1.0,1.0,2.0,5.0,3.0,4.0,71.0,75.0,45.0,129.0,126.0,118.0,178.0,231.0,3.0,6.0,4.0
2014-01-06,1.0,5.0,1.0,3.0,1.0,6.0,4.0,3.0,80.0,79.0,50.0,102.0,129.0,155.0,208.0,231.0,3.0,0.0,0.0
2014-01-13,2.0,1.0,5.0,3.0,0.0,3.0,5.0,3.0,81.0,62.0,43.0,99.0,106.0,141.0,173.0,272.0,4.0,5.0,4.0
2014-01-20,1.0,4.0,4.0,5.0,6.0,6.0,5.0,1.0,65.0,64.0,28.0,101.0,130.0,153.0,174.0,198.0,3.0,7.0,3.0
2014-01-27,0.0,1.0,4.0,6.0,3.0,13.0,3.0,3.0,81.0,88.0,52.0,108.0,123.0,142.0,197.0,262.0,5.0,2.0,0.0
2014-02-03,2.0,0.0,6.0,4.0,1.0,6.0,5.0,4.0,60.0,81.0,63.0,179.0,115.0,121.0,124.0,191.0,4.0,2.0,1.0
2014-02-10,2.0,6.0,6.0,3.0,2.0,7.0,2.0,1.0,69.0,71.0,50.0,122.0,116.0,139.0,158.0,213.0,0.0,0.0,0.0
2014-02-17,0.0,1.0,3.0,5.0,3.0,4.0,6.0,3.0,66.0,65.0,45.0,114.0,148.0,126.0,183.0,187.0,1.0,0.0,0.0
2014-02-24,1.0,0.0,4.0,4.0,4.0,0.0,6.0,4.0,58.0,62.0,53.0,112.0,153.0,141.0,169.0,223.0,2.0,0.0,0.0
