timestamp,decade_1830,decade_1840,decade_1850,decade_1860,decade_1870,decade_1880,decade_1890,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2010,decade_2020,decade_2030
2013-12-31,4.0,15.0,12.0,11.0,11.0,32.0,16.0,11.0,350.0,383.0,237.0,584.0,643.0,654.0,971.0,1081.0,16.0,17.0,6.0
2014-12-31,81.0,97.0,176.0,176.0,161.0,241.0,248.0,145.0,3623.0,3514.0,2626.0,6307.0,7200.0,7390.0,9137.0,11455.0,239.0,165.0,74.0
2015-12-31,90.0,118.0,218.0,226.0,121.0,202.0,218.0,149.0,4144.0,3635.0,2932.0,6673.0,7846.0,8482.0,10734.0,14575.0,348.0,187.0,75.0
2016-12-31,129.0,210.0,320.0,416.0,268.0,350.0,358.0,288.0,7555.0,7029.0,5114.0,11298.0,14279.0,14765.0,20879.0,30359.0,677.0,358.0,178.0
2017-12-31,157.0,222.0,438.0,493.0,303.0,438.0,508.0,441.0,10327.0,9991.0,6841.0,14619.0,18149.0,18334.0,24937.0,35109.0,1003.0,512.0,260.0
2018-12-31,206.0,256.0,391.0,436.0,283.0,397.0,378.0,367.0,9363.0,8779.0,6354.0,12440.0,16071.0,16547.0,24632.0,32566.0,1127.0,632.0,273.0
2019-12-31,168.0,224.0,380.0,422.0,240.0,385.0,388.0,342.0,8758.0,8514.0,6277.0,12166.0,15389.0,16206.0,23460.0,31585.0,1554.0,1348.0,449.0
2020-12-31,190.0,261.0,560.0,659.0,352.0,536.0,510.0,519.0,12363.0,11934.0,8266.0,16074.0,20430.0,21349.0,30711.0,44287.0,2996.0,1574.0,570.0
2021-12-31,173.0,265.0,493.0,586.0,357.0,519.0,584.0,526.0,12209.0,11898.0,8768.0,16497.0,20586.0,22330.0,32254.0,46998.0,3743.0,1564.0,602.0
2022-12-31,7.0,13.0,26.0,51.0,25.0,40.0,30.0,34.0,781.0,730.0,522.0,959.0,1193.0,1391.0,1888.0,2741.0,232.0,121.0,38.0
